gu_name,count
서구,705
중구,527
북구,496
남구,446
강남구,412
남양주시,403
화성시,401
부천시,400
제주시,378
동구,377
송파구,344
강서구,317
김포시,252
성남시 분당구,247
마포구,244
평택시,243
파주시,243
김해시,241
고양시 덕양구,241
서초구,237
시흥시,236
남동구,228
강동구,212
의정부시,206
서귀포시,206
고양시 일산동구,195
유성구,194
부평구,192
해운대구,191
광주시,190
은평구,189
노원구,189
달서구,188
천안시 서북구,186
원주시,184
수성구,183
용인시 기흥구,182
하남시,182
춘천시,180
양천구,175
전주시 완산구,175
수원시 영통구,169
부산진구,169
관악구,166
영등포구,166
강릉시,165
미추홀구,165
연수구,164
성북구,162
구미시,158
안산시 단원구,157
강북구,157
진주시,157
전주시 덕진구,157
종로구,154
수원시 권선구,150
여수시,149
성동구,148
양산시,148
광진구,147
아산시,147
중랑구,147
광산구,146
경주시,140
고양시 일산서구,139
계양구,138
안양시 동안구,135
익산시,134
경산시,133
용인시 수지구,132
동대문구,132
용인시 처인구,131
거제시,129
동래구,129
구로구,127
양주시,126
순천시,124
성남시 수정구,123
이천시,123
용산구,122
군산시,122
수원시 팔달구,122
포항시 북구,122
안산시 상록구,122
서대문구,120
도봉구,116
천안시 동남구,115
청주시 흥덕구,115
안성시,113
광명시,113
수원시 장안구,113
동작구,112
사하구,110
충주시,108
포천시,108
구리시,104
목포시,104
창원시 성산구,99
울주군,99
양평군,98
포항시 남구,95
창원시 의창구,94
달성군,94
오산시,93
청주시 청원구,91
금정구,90
금천구,90
기장군,89
연제구,89
가평군,86
태안군,85
안양시 만안구,83
수영구,83
군포시,83
성남시 중원구,80
창원시 마산회원구,80
당진시,77
창원시 진해구,76
서산시,70
청주시 상당구,70
청주시 서원구,69
나주시,69
안동시,69
통영시,69
평창군,66
사상구,65
창원시 마산합포구,63
의왕시,61
강화군,61
양양군,61
속초시,59
여주시,58
고성군,57
정읍시,57
김천시,54
무안군,54
완주군,53
사천시,52
담양군,51
영월군,51
대덕구,51
제천시,50
보령시,50
밀양시,50
공주시,49
홍성군,47
음성군,46
상주시,46
광양시,45
논산시,44
영천시,44
칠곡군,43
홍천군,42
김제시,41
영도구,40
남원시,40
영주시,37
문경시,36
남해군,36
예산군,35
부여군,34
영암군,34
동해시,33
고흥군,33
부안군,32
고창군,31
옹진군,30
과천시,30
동두천시,30
함안군,29
울진군,29
해남군,29
청도군,28
인제군,28
거창군,28
보성군,28
정선군,27
진천군,27
영광군,27
화순군,26
횡성군,26
장성군,26
창녕군,25
삼척시,25
금산군,23
장흥군,23
옥천군,23
철원군,23
함평군,22
순창군,22
예천군,21
계룡시,21
영덕군,20
구례군,20
서천군,20
완도군,20
산청군,20
의성군,20
보은군,20
영동군,19
합천군,19
하동군,19
강진군,18
신안군,18
양구군,18
임실군,18
진안군,17
진도군,17
성주군,17
고령군,16
화천군,16
괴산군,16
태백시,16
곡성군,15
무주군,15
연천군,14
증평군,14
단양군,13
청양군,13
함양군,13
장수군,11
군위군,11
봉화군,9
청송군,9
의령군,9
영양군,6
완산구,6
울릉군,4
기흥구,4
진해구,3
정보없음,3
팔달구,2
단원구,2
흥덕구,2
영통구,2
처인구,2
수지구,1
수정구,1
상록구,1
상당구,1
덕양구,1
분당구,1
만안구,1
동안구,1
성산구,1
소사구,1
일산서구,1
일산동구,1
청원구,1
장안구,1
